"Action","Date","Reference No","Location","Supplier","Purchase Status","Payment Status","Grand Total","Payment due   ","Added By"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsAdd paymentView PaymentsPurchase ReturnUpdate Status Items Received Notification","28/02/2026 04:26 PM","PO2026/0040","JR MARKETING SHOP","OXFORD COMPANY,","Received","Due","LKR 109,068.75","Purchase: LKR 109,068.75","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","24/02/2026 04:32 PM","PO2026/0039","JR MARKETING SHOP","STEEL HANDLE MOULAVI,","Received","Paid","LKR 9,200.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","24/02/2026 01:48 PM","PO2026/0038","JR MARKETING SHOP","ABDULLAH COLOMBO,","Received","Paid","LKR 42,660.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsAdd paymentView PaymentsPurchase ReturnUpdate Status Items Received Notification","22/02/2026 04:37 PM","PO2026/0037","JR MARKETING SHOP","OXFORD COMPANY,","Received","Due","LKR 20,074.50","Purchase: LKR 20,074.50","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","21/02/2026 05:28 PM","PO2026/0036","JR MARKETING SHOP","ABDULLAH COLOMBO,","Received","Paid","LKR 25,000.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsAdd paymentView PaymentsPurchase ReturnUpdate Status Items Received Notification","16/02/2026 04:56 PM","PO2026/0035","JR MARKETING SHOP","OXFORD COMPANY,","Received","Due","LKR 36,011.70","Purchase: LKR 36,011.70","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","15/02/2026 02:05 PM","PO2026/0034","JR MARKETING SHOP","ABDULLAH COLOMBO,","Received","Paid","LKR 45,435.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsAdd paymentView PaymentsPurchase ReturnUpdate Status Items Received Notification","10/02/2026 03:58 PM","PO2026/0033","JR MARKETING SHOP","OXFORD COMPANY,","Received","Due","LKR 110,161.50","Purchase: LKR 110,161.50","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","10/02/2026 09:41 AM","PO2026/0032","JR MARKETING SHOP","ABDULLAH COLOMBO,","Received","Paid","LKR 18,500.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","05/02/2026 05:02 PM","PO2026/0031","JR MARKETING SHOP","ABDULLAH COLOMBO,","Received","Paid","LKR 58,320.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","05/02/2026 10:02 AM","PO2026/0030","JR MARKETING SHOP","ABDULLAH COLOMBO,","Received","Paid","LKR 52,315.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsAdd paymentView PaymentsPurchase ReturnUpdate Status Items Received Notification","04/02/2026 10:18 AM","PO2026/0029","JR MARKETING SHOP","BASITH COLOMBO,","Received","Due","LKR 56,250.00","Purchase: LKR 56,250.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","28/01/2026 10:09 AM","PO2026/0028","JR MARKETING SHOP","ABDULLAH COLOMBO,","Received","Paid","LKR 29,250.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsAdd paymentView PaymentsPurchase ReturnUpdate Status Items Received Notification","26/01/2026 11:08 AM","PO2026/0027","JR MARKETING SHOP","ABDULLAH COLOMBO,","Received","Partial","LKR 50,000.00","Purchase: LKR 20,000.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","24/01/2026 12:48 PM","PO2026/0026","JR MARKETING SHOP","ABDULLAH COLOMBO,","Received","Paid","LKR 22,560.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsAdd paymentView PaymentsPurchase ReturnUpdate Status Items Received Notification","22/01/2026 05:12 PM","PO2026/0025","JR MARKETING SHOP","OXFORD COMPANY,","Received","Due","LKR 105,747.75","Purchase: LKR 105,747.75","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","22/01/2026 04:25 PM","PO2026/0024","JR MARKETING SHOP","ZAKIR INDIA,","Received","Paid","LKR 192,800.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","22/01/2026 11:15 AM","PO2026/0023","JR MARKETING SHOP","IDEA COMPANY,","Received","Paid","LKR 45,984.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","20/01/2026 01:44 PM","PO2026/0022","JR MARKETING SHOP","ABDULLAH COLOMBO,","Received","Paid","LKR 51,960.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsAdd paymentView PaymentsPurchase ReturnUpdate Status Items Received Notification","20/01/2026 01:40 PM","PO2026/0021","JR MARKETING SHOP","BASITH COLOMBO,","Received","Due","LKR 88,000.00","Purchase: LKR 88,000.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","13/01/2026 07:21 PM","PO2026/0020","JR MARKETING SHOP","ABDULLAH COLOMBO,","Received","Paid","LKR 8,750.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsAdd paymentView PaymentsPurchase ReturnUpdate Status Items Received Notification","13/01/2026 07:14 PM","PO2026/0019","JR MARKETING SHOP","OXFORD COMPANY,","Received","Due","LKR 41,611.50","Purchase: LKR 41,611.50","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","13/01/2026 11:19 AM","PO2026/0018","JR MARKETING SHOP","BASITH COLOMBO,","Received","Paid","LKR 166,000.00","Purchase: LKR 0.00","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsAdd paymentView PaymentsPurchase ReturnUpdate Status Items Received Notification","10/01/2026 09:59 AM","PO2026/0016","JR MARKETING SHOP","OXFORD COMPANY,","Received","Due","LKR 152,832.38","Purchase: LKR 152,832.38","Admin"
"ActionsToggle Dropdown                                                                                           ViewPrintEditDeleteLabelsView PaymentsPurchase ReturnUpdate Status Items Received Notification","06/01/2026 11:07 AM","PO2026/0015","JR MARKETING SHOP","BASITH COLOMBO,","Received","Paid","LKR 112,500.00","Purchase: LKR 0.00","Admin"
"Total:","Total:","Total:","Total:","Total:","","Due - 9Paid - 15Partial - 1","LKR 1,650,992.08","Purchase Due - LKR 739,758.08             Purchase Return - LKR 0.00",""